AREAKEY,TRCTPOP9,MDFAMY9,MDVALHS9,TRCTPOP0,MDFAMY0,MDVALHS0,TRCTPOP1,MDFAMY1A,MDVALHS1A
36005000100,14303,0,0,12780,0,0,11091,0,0
36005000200,2907,38711,136500,3505,50817,147500,4334,58368,392500
36005000400,2260,40484,163234,3354,41019,157610,5503,73148,393700
36005001600,5254,24732,156800,5208,30104,177000,5643,33555,378100
36005001900,1575,24823,48868,1613,23671,145960,1917,25489,0
36005002000,9110,18762,185400,9101,19694,177600,8731,30817,398100
36005002300,4577,15189,0,4305,20217,0,4933,20342,0
36005002400,0,0,0,0,0,0,4,0,0
36005002500,5572,9807,87500,5109,15662,99100,5491,17048,381300
36005002701,3004,10109,0,3033,13077,0,3113,25269,0
36005002702,3930,6540,0,4736,12042,162500,4475,21140,350000
36005002800,5964,36060,151600,5718,38448,155300,5586,55922,262000
36005003100,674,16750,0,1504,28365,0,1597,38398,115600
36005003300,3357,8723,0,3090,11420,163800,3413,17034,335700
36005003500,2879,16042,0,3448,20122,158700,3761,27682,0
36005003700,87,14038,0,503,24300,0,245,23884,0
36005003800,1068,43672,143800,1328,53705,177700,1264,56094,472100
36005003900,5202,15558,100000,6022,23006,126100,6475,31556,467300
36005004001,1380,32446,193800,1365,35156,184900,1420,45865,361400
36005004100,6132,10933,0,5240,15000,102500,6127,20649,237000
36005004200,7759,25019,111640,7762,31572,105836,7143,42180,211000
36005004300,4643,12794,32500,4780,21956,162900,5056,23156,423700
36005004400,4964,16068,195300,4671,14346,186700,4797,22331,641800
36005004600,1251,30417,0,1376,22500,0,1555,41607,87300
36005004800,4166,17188,137500,3536,15817,172100,3883,21908,230600
36005005001,4723,19052,131800,4964,20938,178500,4767,40345,380400
36005005002,5496,19052,131800,5776,20938,178500,5823,26269,0
36005005100,6303,10987,0,5594,13469,6094,5810,22118,0
36005005200,2012,16831,165000,2112,20484,196600,2031,35673,214600
36005005300,1365,25833,0,1255,18567,0,4669,22576,0
36005005400,5616,21168,175300,5550,24335,142500,5853,35385,446400
36005005600,2404,24211,112500,2724,26544,164300,2711,42093,460700
36005005902,2727,31046,0,2677,30720,0,2582,41190,157300
36005006000,1021,19202,24564,1088,27381,187227,1129,28309,487500
36005006100,3449,38924,0,4039,34611,187500,3713,52792,25100
36005006200,6855,15401,126400,6399,22217,225000,6585,21590,505700
36005006300,5852,21934,10418,5815,27761,12785,5280,31275,242600
36005006400,3510,33750,215500,3833,35500,206800,3967,44386,449500
36005006500,4208,12263,0,4789,19961,0,5337,22344,34400
36005006700,6044,12679,89100,6491,22256,218200,6984,19564,460400
36005006800,2568,23214,162500,3132,33191,125000,2897,44922,486100
36005006900,4338,9820,87500,4400,10868,202500,7564,28496,462200
36005007000,3436,33793,151100,4084,35081,173200,4584,48869,471800
36005007100,863,9875,0,1961,37891,115100,1907,30781,222900
36005007200,4891,29907,162558,5369,33777,183880,5432,44324,415000
36005007300,3229,11250,0,3248,20087,0,3893,32522,428000
36005007400,3381,38714,211600,3263,42288,210000,3710,51944,349200
36005007500,3018,17197,55000,4688,23321,109700,4869,27897,254000
36005007600,4284,27132,237745,4902,35218,210774,5190,40089,453100
36005007700,1221,10729,17500,1547,20521,100800,1927,44025,441000
36005007800,5557,31641,175270,6458,39387,199581,6418,42299,454900
36005007900,5978,11261,87500,6598,17988,0,6733,32022,0
36005008300,5202,9265,47500,6204,26799,212800,6155,26642,310300
36005008400,1788,47583,162500,2167,39821,188400,2374,77404,440900
36005008500,5083,14281,112500,5335,18036,0,5457,30568,408500
36005008600,4442,19190,193800,4381,17891,189700,4176,37292,379800
36005008700,4854,13539,134681,5208,22322,150570,5466,32551,302200
36005008900,2630,15069,137500,3012,23049,166700,3177,26168,339500
36005009000,3649,17226,149003,3642,19981,186140,3667,25370,372500
36005009200,4036,31651,167014,4754,40661,180217,5017,47593,437900
36005009300,4331,13769,78068,5517,19864,109906,6356,30257,433600
36005009600,1553,36800,193319,1947,49020,202943,2594,43664,523100
36005009800,5120,38216,169891,5460,45670,193789,5038,51563,408500
36005011000,550,41130,78304,494,39567,195078,151,0,0
36005011502,3171,9329,178128,4124,16091,0,4340,21461,372200
36005011700,1328,18870,0,1725,18102,0,1585,8542,0
36005011800,4280,53085,168832,5097,64258,178414,5089,89087,437300
