AREAKEY,TRCTPOP1,MDFAMY1A,MDVALHS1A
36005000100,11091,0,0
36005000200,4334,58368,392500
36005000400,5503,73148,393700
36005001600,5643,33555,378100
36005001900,1917,25489,0
36005002000,8731,30817,398100
36005002300,4933,20342,0
36005002400,4,0,0
36005002500,5491,17048,381300
36005002701,3113,25269,0
36005002702,4475,21140,350000
36005002800,5586,55922,262000
36005003100,1597,38398,115600
36005003300,3413,17034,335700
36005003500,3761,27682,0
36005003700,245,23884,0
36005003800,1264,56094,472100
36005003900,6475,31556,467300
36005004001,1420,45865,361400
36005004100,6127,20649,237000
36005004200,7143,42180,211000
36005004300,5056,23156,423700
36005004400,4797,22331,641800
36005004600,1555,41607,87300
36005004800,3883,21908,230600
36005005001,4767,40345,380400
36005005002,5823,26269,0
36005005100,5810,22118,0
36005005200,2031,35673,214600
36005005300,4669,22576,0
36005005400,5853,35385,446400
36005005600,2711,42093,460700
36005005902,2582,41190,157300
36005006000,1129,28309,487500
36005006100,3713,52792,25100
36005006200,6585,21590,505700
36005006300,5280,31275,242600
36005006400,3967,44386,449500
36005006500,5337,22344,34400
36005006700,6984,19564,460400
36005006800,2897,44922,486100
36005006900,7564,28496,462200
36005007000,4584,48869,471800
36005007100,1907,30781,222900
36005007200,5432,44324,415000
36005007300,3893,32522,428000
36005007400,3710,51944,349200
36005007500,4869,27897,254000
36005007600,5190,40089,453100
36005007700,1927,44025,441000
36005007800,6418,42299,454900
36005007900,6733,32022,0
36005008300,6155,26642,310300
36005008400,2374,77404,440900
36005008500,5457,30568,408500
36005008600,4176,37292,379800
36005008700,5466,32551,302200
36005008900,3177,26168,339500
36005009000,3667,25370,372500
36005009200,5017,47593,437900
36005009300,6356,30257,433600
36005009600,2594,43664,523100
36005009800,5038,51563,408500
36005011000,151,0,0
36005011502,4340,21461,372200
36005011700,1585,8542,0
36005011800,5089,89087,437300
36005011900,5698,21773,377800
36005012101,3090,38029,464400
36005012102,1631,12294,350000
36005012300,4152,19857,370800
36005012500,3905,33590,426400
36005012701,2253,23981,340500
36005012901,4015,22857,291200
36005013000,1032,90764,495700
36005013100,5103,25194,434500
36005013200,5890,86547,454100
